"CARDID","LINEID","BEGINTIME","ENDTIME","STATIONFROM","STATIONTO","BUSID"
"1DBC3668AAC5A2DA4764EE7C144B11D0","10945","20140401135400","20140401140500","45","42","00051026"
"238D2C50887100BEC8BC5A6EC2642B36","10945","20140401135400","20140401140628","45","41","00051026"
"4997CB289BC3D048FE85685C6EDD28BA","10945","20140401135400","20140401141545","45","36","00051026"
"34E177284D4BDFE7E745147546789D3E","10945","20140401135400","20140401142016","45","34","00051026"
"4DFAA33CBEE41FD662901960CA0C2A17","10945","20140401141500","20140401142343","37","32","00051026"
"8C34D3F65A6EF48EF0BF807C3260C203","10945","20140401135400","20140401142419","45","31","00051026"
"9ED543ED5997749DEB02D08BD466BBEB","10945","20140401135400","20140401142434","45","31","00051026"
"4AB33E89667FD541B2785142A05FF5B7","10945","20140401142300","20140401142551","32","30","00051026"
"27155C35540207044B857BF17325BB6C","10945","20140401135400","20140401142632","45","30","00051026"
"BB64E6B875FEE721ED42026296BDEA47","10945","20140401142600","20140401142700","30","29","00051026"
"7A3653B42F5A5DE92C20E1BE4649AF51","10945","20140401135800","20140401142714","44","29","00051026"
